"AACountryName,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Argentina,""ARG"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""20.19353"",""17.65592"",""17.33307"",""16.08829"",""13.06567"",""10.37139"",""10.90728"",""11.70836"",""13.07729"",""14.23457"",""14.98778"",""17.68235"",""16.12808"",""15.94486"",""16.31633"",""16.77133"",""16.26738"",""17.24864"",""16.08373"",""16.91251"","""","""","""","
"Australia,""AUS"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""26.57506"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""19.06647"",""22.28509"",""21.85707"",""21.46599"",""17.82954"","""","""","""","""","
"Austria,""AUT"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""51.60388"","""","""","""","""","""","""","""","""",""36.85693"",""35.62528"",""36.21659"",""34.27502"",""31.49534"",""37.06478"",""36.28273"",""35.81112"",""35.98491"",""36.23652"","""","""","""","""","
"Bahamas, The,""BHS"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Barbados,""BRB"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""53.20958"",""42.48029"",""58.6937"","""","""","""","""","""",""38.70306"","""",""29.9187"",""41.67439"","""","""","""","""","""","""","""","""","""","""","
"Belgium,""BEL"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""33.67031"","""","""",""35.75914"",""36.52921"",""34.75718"",""33.49417"","""",""32.88551"",""33.64922"",""32.32961"",""32.207"","""","""","""","""","
"Botswana,""BWA"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""262.54747"","""",""205.53861"","""",""246.067"","""","""","""","""","""","""","""","""","""","""","""","
"Canada,""CAN"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""42.85008"","""","""","""","""","""","""","""","""",""40.28518"",""36.35893"",""40.19827"",""44.68562"",""43.07659"","""",""29.65255"",""36.99843"",""36.93396"",""31.44008"","""","""","""","""","
"Costa Rica,""CRI"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""35.82923"","""","""","""","""","""","""",""30.13085"",""30.3901"",""32.4646"",""32.95088"",""35.07591"",""36.69091"",""38.63966"",""37.51487"","""","""","
"Denmark,""DNK"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""61.29751"",""64.40718"",""68.46375"",""73.58267"",""71.96577"",""65.09406"",""60.92935"",""54.10622"",""52.11558"",""52.29962"",""50.38598"",""54.98638"",""53.95163"",""50.9369"",""41.8996"",""42.55885"",""43.12666"","""","""","""","""","""","""","
"Finland,""FIN"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""39.0179"",""37.27151"",""35.74196"",""35.85259"",""35.35128"",""34.62936"",""32.91852"",""32.03604"",""30.50613"",""31.10585"",""37.05012"",""36.80425"",""36.27448"",""36.01216"",""35.47931"",""35.79621"",""34.49292"",""33.93205"","""","""","""","""","
"France,""FRA"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""29.99279"",""29.49665"","""","""",""34.20437"",""34.27348"",""33.63592"",""33.76937"",""35.15927"",""36.00706"",""38.9199"",""37.30938"",""36.36891"",""34.06808"",""33.75392"",""33.43725"",""32.96949"",""31.62493"","""","""","""","""","
"Germany,""DEU"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""39.53355"",""37.25767"",""36.11148"",""33.95677"",""33.58129"","""","""","""","""","
"Greece,""GRC"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""25.67499"",""24.45624"",""19.86329"",""23.33121"",""22.87172"",""20.64593"",""23.31321"",""24.31325"","""","""","""","""","""","""","""","""","""",""11.19976"","""","""","""","""","""","
"Iceland,""ISL"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""38.02443"",""33.92496"",""33.61737"",""32.81309"",""29.24665"",""26.34483"",""27.52771"",""25.35656"",""25.98655"",""26.71026"",""27.58608"",""26.39043"",""22.41595"",""24.73664"",""23.88149"",""23.86484"",""24.7867"",""27.31457"","""","""","""","""","
"India,""IND"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""96.88233"","""","""",""70.25823"",""62.91641"",""59.80892"",""56.92187"","""","""",""77.55281"",""71.54343"",""60.97288"",""54.44577"",""49.27271"","""","""","""","""","""","""","""","
"Ireland,""IRL"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""28.44398"",""27.92329"",""29.67067"",""27.12143"",""25.30856"",""23.00727"",""22.74967"",""23.4954"",""25.00394"",""25.42936"",""31.84588"",""36.18447"",""31.53732"",""29.69555"",""28.56806"",""25.6625"",""22.76605"",""18.99692"",""15.54304"","""","""","""","""","
"Israel,""ISR"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""30.88002"",""29.285"",""27.53972"",""27.07987"",""23.7068"",""26.0644"",""22.14951"",""21.28346"",""21.5983"",""21.2449"",""19.91179"",""20.78325"",""19.79111"",""19.16336"",""21.08343"",""21.91679"",""20.93237"",""19.25088"",""18.18129"","""","""","""","""","
"Italy,""ITA"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""22.14214"",""26.50089"",""25.58481"",""24.00849"",""25.31716"",""22.40146"",""21.60069"",""21.07472"",""22.08651"",""20.92153"",""23.56882"",""24.34607"",""24.44501"",""24.20626"",""24.53473"",""26.27299"",""26.27229"",""25.26641"",""24.32675"","""","""","""","""","
"Jamaica,""JAM"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""71.6931"",""60.67173"",""33.01935"",""38.18464"",""58.35469"","""","""",""44.04528"",""56.83809"",""54.52797"",""49.43669"",""38.75464"",""42.04212"","""",""36.59035"","""","""","""","""","""","
"Japan,""JPN"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""23.99086"",""24.36669"","""",""20.60904"","""","""","""","""","
"Korea, Rep.,""KOR"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""6.48121"",""7.68231"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""14.76092"",""15.02377"","""","""","""","""","
"Luxembourg,""LUX"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.39603"","""",""41.11313"",""42.75533"","""","""","""","""","""","
"Malta,""MLT"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""42.0831"","""","""","""",""44.34047"","""",""25.0676"","""","""",""37.47493"",""42.59991"",""45.02282"",""56.31045"",""39.27497"",""49.69013"",""51.35467"",""47.10169"",""44.39611"","""","""","""","""","""","
"Mauritania,""MRT"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""53.87135"","""",""85.90521"","""","""","""","""","""","""","""","""",""163.09107"","""",""162.81621"",""87.23176"",""70.43038"",""67.48049"","""",""92.77992"",""95.78092"","""","""","""","""","
"Netherlands,""NLD"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""44.66199"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""33.0426"",""35.77867"","""","""","""","""","
"New Zealand,""NZL"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""28.08001"",""26.37621"",""26.93331"",""25.25573"","""","""","""","""","
"Norway,""NOR"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""46.01137"",""46.4702"",""44.93575"",""38.62209"",""42.8673"",""47.12988"",""48.46343"",""50.3261"",""48.03716"",""43.72583"",""45.65673"",""45.04542"",""47.54835"",""43.44995"",""41.54993"","""",""40.53579"",""42.40292"",""37.31122"",""39.82164"","""","""","""","""","
"Portugal,""PRT"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""26.96595"",""25.76338"",""26.2307"",""23.78989"",""24.84234"",""22.04932"",""25.33618"",""26.77534"",""32.0895"",""25.4724"",""29.20305"",""30.01118"",""26.87704"","""",""25.06298"",""26.89935"",""26.90651"","""","""","""","""","""","
"Spain,""ESP"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""19.62106"",""19.38165"",""20.18436"",""20.93246"",""21.35733"",""22.17697"",""22.15535"",""22.28554"",""23.01221"",""24.62767"",""26.80364"",""28.60976"",""27.99309"",""27.3279"",""23.84988"",""23.29205"",""22.98794"",""22.91741"",""21.81691"","""","""","""","""","
"Sweden,""SWE"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""58.97767"",""49.35435"",""47.34424"",""46.49734"",""46.14802"",""42.7137"",""40.00729"",""38.13697"",""36.87251"",""36.26481"",""39.06096"",""42.34718"",""39.56612"",""38.42777"",""42.38743"",""43.45347"",""43.82746"",""43.11866"",""43.24651"","""","""","""","""","
"Switzerland,""CHE"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""46.30925"",""49.83525"",""48.8117"",""50.72625"",""55.13934"",""59.04268"",""57.3849"",""50.31276"",""48.16911"",""42.27089"",""39.80314"",""42.03798"",""39.23296"",""39.66926"",""41.6314"",""40.54859"",""40.97992"",""37.67913"",""37.4052"","""","""","""","""","
"Trinidad and Tobago,""TTO"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"United Kingdom,""GBR"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""27.90508"",""22.71169"",""20.67319"",""20.34455"",""25.48431"",""24.79769"",""24.37405"",""29.03337"",""26.05054"",""22.14017"",""20.34569"",""18.77949"",""23.64564"",""31.421"","""",""40.20748"",""41.20273"",""35.35066"",""37.99046"","""","""","""","""","
"United States,""USA"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""20.83643"",""20.04063"",""21.89296"",""20.41236"",""21.16585"",""21.52057"",""19.42953"","""","""","""","""","
"Uruguay,""URY"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""19.299"",""18.29396"",""19.9821"",""16.48078"",""17.08454"",""18.97252"",""17.7881"",""18.58317"","""","""","""","""",""29.16904"","""","""","""","""",""25.19618"",""25.38864"","""","""","""","